Name,Precision (micro),Precision (macro),Precision (weighted),Recall (micro),Recall (macro),Recall (weighted),F1 (micro),F1 (macro),F1 (weighted)
salinas_a_gaussian_mixture_diag_linear_autoencoder_2.txt,0.5837696335078534,0.6540346812548484,0.6195375035942156,0.5837696335078534,0.7269359002873615,0.5837696335078534,0.5837696335078534,0.6456212073856475,0.5532881346496377,0.5837696335078534
salinas_a_gaussian_mixture_diag_linear_autoencoder_3.txt,0.7460732984293194,0.7581835497656497,0.7154440740509808,0.7460732984293194,0.8169747777214019,0.7460732984293194,0.7460732984293194,0.7508943445664467,0.6842383897835809,0.7460732984293194
salinas_a_gaussian_mixture_diag_linear_autoencoder_4.txt,0.6163051608077786,0.5012068017971054,0.4316073025617174,0.6163051608077786,0.6492956478325395,0.6163051608077786,0.6163051608077786,0.5499941768994494,0.49349757060132043,0.6163051608077786
salinas_a_gaussian_mixture_diag_linear_autoencoder_5.txt,0.5970456245325355,0.5964250895463887,0.5635108616870101,0.5970456245325355,0.6201783273541343,0.5970456245325355,0.5970456245325355,0.5524109396859124,0.5029148939993171,0.5970456245325355
salinas_a_gaussian_mixture_diag_linear_autoencoder_6.txt,0.6191099476439791,0.6247315633331014,0.6087612335262553,0.6191099476439791,0.6486006377223815,0.6191099476439791,0.6191099476439791,0.5653326765121849,0.5116260571740217,0.6191099476439791
salinas_a_gaussian_mixture_diag_none_autoencoder_none.txt,0.7430815258040389,0.7602060192116445,0.7618002150005628,0.7430815258040389,0.8106695661290836,0.7430815258040389,0.7430815258040389,0.74081889418766,0.7055810684375139,0.7430815258040389
salinas_a_gaussian_mixture_full_convolutional_autoencoder_1.txt,0.818249813014211,0.8689197187693779,0.8900480711399097,0.818249813014211,0.8689025481912314,0.818249813014211,0.818249813014211,0.836603466083094,0.8211121679688338,0.818249813014211
salinas_a_gaussian_mixture_full_convolutional_autoencoder_2.txt,0.4895287958115183,0.6780397753168339,0.674875646511673,0.4895287958115183,0.5815481220456222,0.4895287958115183,0.4895287958115183,0.5485347600593736,0.44719662435510615,0.4895287958115183
salinas_a_gaussian_mixture_full_convolutional_autoencoder_3.txt,0.7131637995512341,0.862719539166909,0.891650923105797,0.7131637995512341,0.8130403469548293,0.7131637995512341,0.7131637995512341,0.7806695102881428,0.739945884649946,0.7131637995512341
salinas_a_gaussian_mixture_full_linear_autoencoder_1.txt,0.7292445774121167,0.6569116826092115,0.6210844687646001,0.7292445774121167,0.816189867651231,0.7292445774121167,0.7292445774121167,0.7049857887842208,0.6524463561020817,0.7292445774121167
salinas_a_gaussian_mixture_full_linear_autoencoder_2.txt,0.7348541510845176,0.6587175610575283,0.622572984154,0.7348541510845176,0.8197399091931835,0.7348541510845176,0.7348541510845177,0.7097369967515337,0.6575187778955567,0.7348541510845176
salinas_a_gaussian_mixture_full_linear_autoencoder_3.txt,0.8448017950635752,0.8953443259241718,0.9206101875538322,0.8448017950635752,0.8904033571729447,0.8448017950635752,0.8448017950635752,0.858266378983489,0.8440560274145281,0.8448017950635752
salinas_a_gaussian_mixture_full_linear_autoencoder_4.txt,0.5847045624532535,0.6240624565928531,0.591624270015051,0.5847045624532535,0.7288178112876306,0.5847045624532535,0.5847045624532535,0.616104465560712,0.5319076121065897,0.5847045624532535
salinas_a_gaussian_mixture_full_linear_autoencoder_5.txt,0.6282722513089005,0.600645200084717,0.5694624877892164,0.6282722513089005,0.6586854574041218,0.6282722513089005,0.6282722513089005,0.5701110532757959,0.5128215948952822,0.6282722513089005
salinas_a_gaussian_mixture_full_linear_autoencoder_6.txt,0.618735976065819,0.6564956560523008,0.656550130975945,0.618735976065819,0.6479761003930453,0.618735976065819,0.618735976065819,0.5622585555625659,0.5071522550858918,0.618735976065819
salinas_a_gaussian_mixture_full_none_autoencoder_none.txt,0.8115183246073299,0.8589904895465029,0.8901799285754534,0.8115183246073299,0.8655718630395235,0.8115183246073299,0.8115183246073299,0.8177202513516151,0.7986053443246419,0.8115183246073299
salinas_a_gaussian_mixture_spherical_convolutional_autoencoder_1.txt,0.8053477935676888,0.8504727619378211,0.8782469189650015,0.8053477935676888,0.8605767272487523,0.8053477935676888,0.8053477935676888,0.8151631811012364,0.796307771362596,0.8053477935676888
salinas_a_gaussian_mixture_spherical_convolutional_autoencoder_2.txt,0.7010097232610322,0.6896210567834692,0.6648447983027923,0.7010097232610322,0.7765603360886385,0.7010097232610322,0.7010097232610322,0.6937140287795502,0.6484436452203162,0.7010097232610322
salinas_a_gaussian_mixture_spherical_convolutional_autoencoder_3.txt,0.7273747195213164,0.735369625621095,0.7225768256668593,0.7273747195213164,0.7963493614719045,0.7273747195213164,0.7273747195213163,0.7252329609421757,0.6848486295363008,0.7273747195213164
salinas_a_gaussian_mixture_spherical_linear_autoencoder_1.txt,0.8322737471952132,0.8751104514871515,0.8882337172667095,0.8322737471952132,0.8746456035973987,0.8322737471952132,0.8322737471952132,0.8479340792939388,0.8332651182023332,0.8322737471952132
salinas_a_gaussian_mixture_spherical_linear_autoencoder_2.txt,0.7271877337322363,0.7270618514509123,0.7148352954268787,0.7271877337322363,0.7976022996449289,0.7271877337322363,0.7271877337322363,0.7207937314774088,0.6795514235827673,0.7271877337322363
salinas_a_gaussian_mixture_spherical_linear_autoencoder_3.txt,0.7430815258040389,0.7826398109555012,0.7187811812084913,0.7430815258040389,0.8134492867661435,0.7430815258040389,0.7430815258040389,0.7631270643980904,0.6833983405222074,0.7430815258040389
